Short nam,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
DBKR37B,28-Feb-23,404-96-2630-56372,0,0,0,0.36,77.63,96.85,39.36,76,0,44,2,0,0,72.05,59
,01-Mar-23,404-96-2630-56372,0,0.4,0,0.36,92.38,96.11,39.98,105,0,136,2,0,0,81.6,97
,02-Mar-23,404-96-2630-56372,0,0,0,0.36,96.1,96.7,41.73,77,0,106,2,0,0,90.37,74
,03-Mar-23,404-96-2630-56372,0,0,0,0,95.6,95.99,42.78,91,0,75,2,0,0,68.27,87
,04-Mar-23,404-96-2630-56372,0,0,0,0,91.67,95.88,50.49,96,0,118,2,0,0,105.18,88
DBKR37C,28-Feb-23,404-96-2630-56373,0,0,0,0,95.65,94.44,76.19,184,1,171,2,0,0,125.49,176
,01-Mar-23,404-96-2630-56373,0,0,0,0.19,92.34,93.6,80.86,222,0,196,2,0,0,129.74,205
,02-Mar-23,404-96-2630-56373,0,0,0,0.19,94.05,92.23,73.06,185,0,170,2,0,0,150,174
,03-Mar-23,404-96-2630-56373,0,0.3,0,0.19,95.32,92.71,84.26,171,0,174,2,0,0,133.56,163
,04-Mar-23,404-96-2630-56373,0,0,0,0,97.37,93.85,83.09,190,0,213,2,0,0,143.34,185
DHMJ51A,28-Feb-23,404-96-1790-48511,0,0,0,0,91.18,96.3,13.69,34,0,44,2,0.12,0,29.28,31
,01-Mar-23,404-96-1790-48511,0,0,0,0,94.12,96.04,13.16,17,0,47,2,0,0,24.55,16
,02-Mar-23,404-96-1790-48511,0,0,0,0,63.64,95.9,14.69,11,0,45,2,0.35,0,28.03,7
,03-Mar-23,404-96-1790-48511,0,0,0,0,78.57,96.28,20.97,28,0,66,2,0.1,0,40.33,22
,04-Mar-23,404-96-1790-48511,0,0.52,0,0,84.85,97.06,22.33,33,0,42,2,0.43,0,43.15,28
DHMJ51B,28-Feb-23,404-96-1790-48512,0,0,0,0,100,99.37,18.11,50,0,48,2,0,0,39.89,50
,01-Mar-23,404-96-1790-48512,0,0,0,0,92.11,99.46,17.6,38,0,45,2,0.09,0,38.49,35
,02-Mar-23,404-96-1790-48512,0,0,0,0,100,99.36,17.55,17,0,13,2,0.2,0,30.58,17
,03-Mar-23,404-96-1790-48512,0,0,0,0,100,99.43,25.43,99,0,54,2,0,0,79.35,99
,04-Mar-23,404-96-1790-48512,0,0,0,0,93.94,99.31,21.21,66,1,35,2,0,0,45.56,62
DHMJ51C,28-Feb-23,404-96-1790-48513,0,0,0,0,100,97.23,14.58,23,0,22,2,0,0,26.25,23
,01-Mar-23,404-96-1790-48513,0,0,0,0,94.12,97.08,15.23,34,0,41,2,0.06,0,32.35,32
,02-Mar-23,404-96-1790-48513,0,0,0,0,94.44,96.12,18.21,18,0,21,2,0.22,0,27.75,17
,03-Mar-23,404-96-1790-48513,0,0,0,0,100,96.12,17.35,29,0,51,2,0.29,0,31.54,29
,04-Mar-23,404-96-1790-48513,0,0,0,0,95.74,95.68,20.25,47,0,34,2,0.29,0,25.43,45
DULI37A,28-Feb-23,404-96-2590-11371,0,0,0,2.12,97.37,95.36,17.63,38,0,106,2,0,0,36.44,37
,01-Mar-23,404-96-2590-11371,0,0,0,2.12,96.3,94.99,16.33,27,1,44,2,0,0,31.57,26
,02-Mar-23,404-96-2590-11371,0,0,0,2.31,95,96.62,15.69,20,0,56,2,0,0,27.59,19
,03-Mar-23,404-96-2590-11371,0,0,0,0.76,100,95.54,16.69,47,0,59,2,0,0,25.64,47
,04-Mar-23,404-96-2590-11371,0,0,0,0.76,100,95.94,18.93,53,0,68,2,0,0,27.74,53
DULI37B,28-Feb-23,404-96-2590-11372,0,0,0,1.28,96.15,93.63,32.17,26,0,102,2,0,0,40.37,25
,01-Mar-23,404-96-2590-11372,0,0,0,0.94,96.55,94.04,43.14,29,0,87,2,0,0,67.55,28
,02-Mar-23,404-96-2590-11372,0,0,0,0.94,98.61,95.26,34.48,72,0,80,2,0,0,61.42,71
,03-Mar-23,404-96-2590-11372,0,0,0,0,93.9,95.16,38.31,82,0,106,2,0,0,55.78,77
,04-Mar-23,404-96-2590-11372,0,0,0,0,98.63,96.07,35.87,73,0,96,2,0,0,41.92,72
DULI37C,28-Feb-23,404-96-2590-11373,0,0,0,3.41,100,95.38,23.47,13,3,23,2,0,0,47.04,13
,01-Mar-23,404-96-2590-11373,0,0,0,7.76,100,94.05,24.33,1,0,30,2,0,0,40.48,1
,02-Mar-23,404-96-2590-11373,0,0,0,5.46,100,92.59,24.58,2,1,21,2,0,0,40.7,2
,03-Mar-23,404-96-2590-11373,0,0,0,5.94,64.29,93.13,21.67,14,0,57,2,0,0,36.93,9
,04-Mar-23,404-96-2590-11373,0,0,0,1.59,94.12,90.98,23.71,17,0,85,2,0,0,35.66,16
FLP60A,28-Feb-23,404-96-2535-16601,0,0,0,1.77,90.86,95.51,71.07,361,4,153,3,0.17,0,59.36,328
,01-Mar-23,404-96-2535-16601,0,0,0,1.47,89.71,96.01,50.61,243,0,94,3,0.13,0,42.19,218
,02-Mar-23,404-96-2535-16601,0,0,0,1.47,91.22,95.16,51.89,262,0,164,3,0.18,0,53.57,239
,03-Mar-23,404-96-2535-16601,0,0,0,0.87,93.41,94.96,53.29,273,1,161,3,0.14,0,47.86,255
,04-Mar-23,404-96-2535-16601,0,0,0,0.21,90.04,94.81,51.71,241,0,126,3,0,0,43.9,217
FLP60B,28-Feb-23,404-96-2535-16602,0,0,0,0,82.54,96.7,46.7,355,0,124,2,0.3,0,103.41,293
,01-Mar-23,404-96-2535-16602,0,0,0,0,90.23,96.19,42.85,215,0,103,2,0.16,0,102.55,194
,02-Mar-23,404-96-2535-16602,0,0,0,0,96.5,95.4,39.93,200,0,172,2,0.33,0,112.76,193
,03-Mar-23,404-96-2535-16602,0,0,0,0,95.31,95.11,33.69,192,0,74,2,0.55,0,69.44,183
,04-Mar-23,404-96-2535-16602,0,0,0,0,89.68,94.77,32.33,126,0,74,2,0.55,0,81.94,113
FLP60C,28-Feb-23,404-96-2535-16603,0,0,0,0.86,94.05,98.75,29.12,84,2,34,3,0.28,0,19.13,79
,01-Mar-23,404-96-2535-16603,0,0,0,3.8,90.98,98.49,35.5,122,0,97,3,0.24,0,26.81,111
,02-Mar-23,404-96-2535-16603,0,0,0,2.94,93.08,98.16,43.69,159,0,125,3,0.09,0,30,148
,03-Mar-23,404-96-2535-16603,0,0,0,1.96,95.37,98.04,35.75,108,0,64,3,0.17,0,26.95,103
,04-Mar-23,404-96-2535-16603,0,0,0,0,95.24,98.2,33.62,63,0,72,3,0.41,0,22.87,60
GLA54A,28-Feb-23,404-96-2550-44541,0,0,0,0.77,92.75,97.45,65.41,138,0,200,2,0,0,117.98,128
,01-Mar-23,404-96-2550-44541,0,0,0,0.77,90.62,96.91,23.79,32,0,71,2,0,0,40.85,29
,02-Mar-23,404-96-2550-44541,0,0.58,0,0.47,97.83,96.51,25.54,46,0,67,2,0,0,52.66,45
,03-Mar-23,404-96-2550-44541,0,0,0,0,90.32,96.48,23.83,31,0,87,2,0,0,35.9,28
,04-Mar-23,404-96-2550-44541,0,0,0,0,100,96.61,29.1,59,0,70,2,0,0,58.45,59
GLA54B,28-Feb-23,404-96-2550-44542,0,0.15,0,0.87,96.84,95.94,22.18,95,0,77,2,0.06,0,38.9,92
,01-Mar-23,404-96-2550-44542,0,0,0,0.87,95.77,96.13,13.78,71,0,33,2,0,0,43.22,68
,02-Mar-23,404-96-2550-44542,0,0,0,0.46,96.67,97.59,8.85,30,0,42,2,0,0,17.67,29
,03-Mar-23,404-96-2550-44542,0,0,0,0,100,98.25,11.71,8,0,23,2,0,0,27.39,8
,04-Mar-23,404-96-2550-44542,0,0,0,0,100,99.03,10.07,48,0,39,2,0,0,20.88,48
GLA54C,28-Feb-23,404-96-2550-44543,0,0,0,0,93.75,94.41,40.7,80,0,110,2,0.12,0,62.09,75
,01-Mar-23,404-96-2550-44543,0,0,0,0,95.83,94.78,15.17,24,0,30,2,0,0,35.01,23
,02-Mar-23,404-96-2550-44543,0,0.48,0,0,87.18,92.53,18.37,39,0,57,2,0,0,26.55,34
,03-Mar-23,404-96-2550-44543,0,0,0,0,100,90.44,17.89,16,0,30,2,0,0,53.26,16
,04-Mar-23,404-96-2550-44543,0,0.23,0,0,94.74,90.43,18.43,57,0,40,2,0,0,43.78,54
GHAG31A,28-Feb-23,404-96-2540-48311,0,0.11,0,0.3,95.23,97.02,104.99,713,1,207,2,1.13,0,199.12,679
,01-Mar-23,404-96-2540-48311,0,0,0,0.46,91.17,97.54,111.73,623,0,182,2,2.37,0,178.4,568
,02-Mar-23,404-96-2540-48311,0,0.3,0,0.16,94.08,97.24,110.13,642,0,156,2,1.52,0,164.84,604
,03-Mar-23,404-96-2540-48311,0,0,10.96,0.16,95.13,97.28,122.14,636,1,202,2,0.74,0,236.72,605
,04-Mar-23,404-96-2540-48311,0,0,0,0.17,95.51,97.48,103.36,712,0,267,2,1.64,0,237.06,680
GHAG31B,28-Feb-23,404-96-2540-48312,0,0.16,0,0,90.08,95.33,80.19,242,0,138,2,0.8,0,123.2,218
,01-Mar-23,404-96-2540-48312,0,0.12,0,0,85.36,95.98,82.28,485,3,254,2,1.6,0,214.83,414
,02-Mar-23,404-96-2540-48312,0,0,0,0.39,89.63,95.57,94.73,270,0,131,2,0.5,0,158.89,242
,03-Mar-23,404-96-2540-48312,0,0.22,0,0.39,90.5,95.76,77.61,242,2,146,2,0.35,0,121.69,219
,04-Mar-23,404-96-2540-48312,0,0,0,0.85,90.42,95.6,85.24,261,0,190,2,1.04,0,126.52,236
GHAG31C,28-Feb-23,404-96-2540-48313,0,0,0,0.82,96.54,97.09,88.65,405,0,221,2,1.27,0,176.92,391
,01-Mar-23,404-96-2540-48313,0,0,0,0.66,93.73,97.26,81.48,303,2,193,2,0.68,0,119.79,284
,02-Mar-23,404-96-2540-48313,0,0,0,0.5,96.46,96.82,86.58,311,0,133,2,0.87,0,112.78,300
,03-Mar-23,404-96-2540-48313,0,0.16,0,0.35,95.09,97.05,83.14,265,1,220,2,0.98,0,141.22,252
,04-Mar-23,404-96-2540-48313,0,0,0,0.5,96.91,96.97,83.26,356,0,189,2,0.93,0,126.41,345
GJRD62A,28-Feb-23,404-96-2470-51621,0,0,0,0,96.09,93.8,42.02,179,0,137,2,0,0,76.81,172
,01-Mar-23,404-96-2470-51621,0,0,0,0,92.59,93.47,40.05,135,1,61,2,0,0,43.94,125
,02-Mar-23,404-96-2470-51621,0,0,0,0.55,98.25,92.4,43.61,114,0,74,2,0,0,59.04,112
,03-Mar-23,404-96-2470-51621,0,0,0,0.55,94.62,93.47,49.39,93,1,82,2,0,0,69.82,88
,04-Mar-23,404-96-2470-51621,0,0.27,0,0.95,92.05,93.71,44.95,88,1,117,2,0,0,60.58,81
GJRD62B,28-Feb-23,404-96-2470-51622,0,0,0,0,91.89,98.33,14.61,37,1,43,2,0,0,39.33,34
,01-Mar-23,404-96-2470-51622,0,0,0,0.78,94.44,97.97,21.26,36,0,62,2,0,0,37.3,34
,02-Mar-23,404-96-2470-51622,0,0,0,0.78,87.76,97.02,22.66,49,0,54,2,0,0,37.71,43
,03-Mar-23,404-96-2470-51622,0,0,0,0.78,93.48,97.12,18.84,46,1,41,2,0,0,40.86,43
,04-Mar-23,404-96-2470-51622,0,0,0,0.81,94.2,97.34,22.73,69,0,49,2,0,0,60.58,65
GJRD62C,28-Feb-23,404-96-2470-51623,0,0,0,2.62,98.68,87.34,14.22,76,1,25,2,0,0,23.68,75
,01-Mar-23,404-96-2470-51623,0,0,0,2.57,91.67,88.91,15.4,36,0,37,2,0,0,24.66,33
,02-Mar-23,404-96-2470-51623,0,0,0,2.57,94.74,86.44,15.3,19,0,37,2,0,0,26.98,18
,03-Mar-23,404-96-2470-51623,0,0,0,1.33,90,89.47,14.21,40,0,32,2,0,0,24.43,36
,04-Mar-23,404-96-2470-51623,0,0,0,0,92,90.25,16.71,50,0,34,2,0,0,28.64,46
HADW36A,28-Feb-23,404-96-2680-29361,0,0,0,0,92.11,98.15,19.66,38,0,33,2,0,0,50.42,35
,01-Mar-23,404-96-2680-29361,0,0,0,0,90.36,98.22,15.76,83,0,42,2,0,0,31.58,75
,02-Mar-23,404-96-2680-29361,0,0,0,0,92.86,97.18,22.66,28,0,45,2,0,0,44.88,26
,03-Mar-23,404-96-2680-29361,0,0,0,0,93.1,97.52,18.72,87,0,64,2,0,0,42.94,81
,04-Mar-23,404-96-2680-29361,0,0,0,0,100,97.58,19.1,63,0,43,2,0,0,48.55,63
HADW36B,28-Feb-23,404-96-2680-29362,0,0,0,2.3,94.57,99.46,24.44,92,2,49,2,0,0,50.69,87
,01-Mar-23,404-96-2680-29362,0,0,0,3.66,85.71,99.44,18.99,168,0,48,2,0,0,53.09,144
,02-Mar-23,404-96-2680-29362,0,0,0,1.36,82.35,99.39,15.97,85,0,18,2,0,0,46.38,70
,03-Mar-23,404-96-2680-29362,3.29,0,0,1.36,68.75,98.94,18.04,48,8,35,2,0,300,33.44,33
,04-Mar-23,404-96-2680-29362,0,0,0,7.62,88.29,98.92,18.23,111,0,23,2,0,0,44.97,98
HADW36C,28-Feb-23,404-96-2680-29363,0,0,0,2.75,94.87,98.7,23.16,78,1,60,2,0,0,45.26,74
,01-Mar-23,404-96-2680-29363,0,0,0,3.31,95,98.49,31.25,40,0,29,2,0,0,66.77,38
,02-Mar-23,404-96-2680-29363,0,0,0,2.64,93.62,99,22.7,47,0,41,2,0,0,37.8,44
,03-Mar-23,404-96-2680-29363,0,0,0,0.56,98.9,98.97,20.23,91,0,47,2,0,0,47.22,90
,04-Mar-23,404-96-2680-29363,0,0,0,0,100,99.27,19.7,63,0,66,2,0,0,38.12,63
HAIB67A,28-Feb-23,404-96-1670-15671,0,0,0,1.59,97.06,94.64,15.39,34,0,48,2,0,0,24.22,33
,01-Mar-23,404-96-1670-15671,0,0,0,0,94.74,94.57,15.34,19,1,37,2,0,0,31.05,18
,02-Mar-23,404-96-1680-14421,0,0,0,0.9,97.44,94.37,11.72,39,0,40,2,0,0,22.54,38
,03-Mar-23,404-96-1680-14421,0,0,0,0.9,100,94.73,14.12,22,0,65,2,0,0,20.8,22
,04-Mar-23,404-96-1680-14421,0,,,0.9,,94.39,16.83,0,0,0,2,,0,33.93,0
HAIB67B,28-Feb-23,404-96-1670-15672,0,0,0,0,94,98.5,10.4,50,0,12,2,0,0,22.83,47
,01-Mar-23,404-96-1670-15672,0,0,0,0,100,98.42,13.48,50,0,56,2,0,0,30.66,50
,02-Mar-23,404-96-1680-14422,0,0,0,0,97.01,99.06,15.64,67,0,18,2,0,0,32.85,65
,03-Mar-23,404-96-1680-14422,0,0,0,0,98.86,98.7,18.64,88,0,58,2,0,0,38.65,87
,04-Mar-23,404-96-1680-14422,0,0,0,0,97.73,98.56,9.66,44,0,29,2,0,0,26.01,43
HAIB67C,28-Feb-23,404-96-1670-15673,0,0,0,0,85.19,95.68,36.38,54,0,90,2,0,0,62.81,46
,01-Mar-23,404-96-1670-15673,0,0,0,0,92,96.41,31.94,25,0,119,2,0,0,61.05,23
,02-Mar-23,404-96-1680-14423,0,0,0,0,81.82,95.51,41.36,22,0,65,2,0,0,68.76,18
,03-Mar-23,404-96-1680-14423,0,0,0,0,74.07,94.57,36.05,27,0,105,2,0,0,91.65,20
,04-Mar-23,404-96-1680-14423,0,0,0,0,92.86,92.95,23.37,28,0,78,2,0,0,44.28,26
HASS61A,28-Feb-23,404-96-2580-21611,0,0,0,2.38,96.59,92,16.05,88,0,68,2,0,0,34.68,85
,01-Mar-23,404-96-2580-21611,0,0.88,0,1.55,95.05,92.19,18.72,101,0,58,2,0,0,47.52,96
,02-Mar-23,404-96-2580-21611,0,0,1.96,1.06,95.54,91.27,22.11,112,0,50,2,0,0,50.77,107
,03-Mar-23,404-96-2580-21611,0,0,0,0,93.48,92.4,19.82,92,0,50,2,0,0,42.46,86
,04-Mar-23,404-96-2580-21611,0,0,0,0,95.29,91.69,20.99,85,1,38,2,0,0,33.28,81
HASS61B,28-Feb-23,404-96-2580-21612,0,0,0,0.71,93.59,97.28,25.89,78,1,96,2,0,0,50.73,73
,01-Mar-23,404-96-2580-21612,0,0.71,0,1.06,100,97.55,27.83,123,1,62,2,0,0,46.99,123
,02-Mar-23,404-96-2580-21612,0,0,0,1.59,96.3,96.85,24.42,54,0,58,2,0,0,35.8,52
,03-Mar-23,404-96-2580-21612,0,0,0,0.88,98.89,96.79,20.33,90,0,55,2,0,0,34.58,89
,04-Mar-23,404-96-2580-21612,0,0,0,0.54,98.82,96.4,29.03,85,0,57,2,0,0,43.4,84
HASS61C,28-Feb-23,404-96-2580-21613,0,0,0,0.74,88.24,96.64,29.13,68,0,48,2,0,0,72.94,60
,01-Mar-23,404-96-2580-21613,0,0,2.83,0,90,96.59,20.95,110,1,102,2,0,0,45.21,99
,02-Mar-23,404-96-2580-21613,0,0.96,0,0.33,83.8,96.08,31.46,179,0,96,2,0,0,52.32,150
,03-Mar-23,404-96-2580-21613,0,0,0,0.33,83.15,95.86,27.19,89,1,63,2,0,0,43.07,74
,04-Mar-23,404-96-2580-21613,0,0,0,0.86,94.23,96.29,32.21,52,0,68,2,0,0,48.17,49
HNGL85A,28-Feb-23,404-96-2600-49851,0,0,0,0,98.47,95.4,33.23,131,0,79,2,0,0,57.4,129
,01-Mar-23,404-96-2600-49851,0,0.45,0,0,98.48,95.27,29.24,66,1,90,2,0,0,39.15,65
,02-Mar-23,404-96-2600-49851,0,0,0,0.37,97.06,95.02,30.66,136,1,68,2,0,0,54.17,132
,03-Mar-23,404-96-2600-49851,0,0,0,0.86,96.88,94.98,34.43,64,0,57,2,0,0,62.53,62
,04-Mar-23,404-96-2600-49851,0,0,0,0.86,98.91,95.06,32.11,92,0,87,2,0,0,56.49,91
HNGL85B,28-Feb-23,404-96-2600-49852,0,0,0,0.27,97.87,99.05,53.48,141,0,106,2,0,0,98.75,138
,01-Mar-23,404-96-2600-49852,0,0,0,0.27,96.47,98.94,49.29,85,1,142,2,0,0,121.53,82
,02-Mar-23,404-96-2600-49852,0,0,0,0.23,93.18,98.98,48.66,132,0,137,2,0,0,104.39,123
,03-Mar-23,404-96-2600-49852,0,0,0,0.23,100,98.63,56.95,149,1,183,2,0,0,128.13,149
,04-Mar-23,404-96-2600-49852,0,0,0,0.42,96.75,98.63,56.77,123,0,166,2,0,0,139.4,119
HNGL85C,28-Feb-23,404-96-2600-49853,0,0,0,2.49,94.29,93.67,13.83,35,0,52,2,0,0,36.61,33
,01-Mar-23,404-96-2600-49853,0,0,0,1.51,93.1,94.91,14.01,29,0,26,2,0,0,26.37,27
,02-Mar-23,404-96-2600-49853,0,0,0,0.98,100,95.58,15.15,12,0,18,2,0,0,35.35,12
,03-Mar-23,404-96-2600-49853,0,1.01,0,0,92.86,96.38,17.3,28,0,58,2,0,0,46.12,26
,04-Mar-23,404-96-2600-49853,0,0,0,0,87.5,95.94,16.34,24,0,45,2,0,0,36.87,21
HSNP50A,28-Feb-23,404-96-2470-52501,0,0,0,3.17,94.44,95.36,17.12,18,1,32,2,0,0,34.13,17
,01-Mar-23,404-96-2470-52501,0,0,0,2.62,69.23,95.25,22.59,13,2,49,2,0,0,52.36,9
,02-Mar-23,404-96-2470-52501,0,0,0,3.3,100,96.37,25.45,22,1,59,2,0,0,37.36,22
,03-Mar-23,404-96-2470-52501,0,0,0,2.97,93.55,95.14,27.16,31,2,89,2,0,0,40.64,29
,04-Mar-23,404-96-2470-52501,0,0,0,2.67,95,95.74,26,20,0,46,2,0,0,44.67,19
HSNP50B,28-Feb-23,404-96-2470-52502,0,0,0,4.12,100,95.27,13.31,9,0,27,2,0,0,24.33,9
,01-Mar-23,404-96-2470-52502,0,0,0,2.67,100,95.28,14.23,13,0,40,2,0,0,20.23,13
,02-Mar-23,404-96-2470-52502,0,0,0,0.71,100,95.48,12.22,19,0,61,2,0,0,21.17,19
,03-Mar-23,404-96-2470-52502,0,0,0,0,92.59,94.77,14.3,27,0,31,2,0,0,31.1,25
,04-Mar-23,404-96-2470-52502,0,0.59,0,0,90.48,94.46,17.56,21,1,72,2,0,0,45.35,19
HSNP50C,28-Feb-23,404-96-2470-52503,0,0.66,0,1.06,80.95,97.13,23.64,42,0,94,2,0,0,52.64,34
,01-Mar-23,404-96-2470-52503,0,0,0,0.63,91.84,97.56,31.12,49,0,52,2,0,0,51.8,45
,02-Mar-23,404-96-2470-52503,0,0,0,0,86.36,97.59,35.54,22,1,31,2,0,0,52.61,19
,03-Mar-23,404-96-2470-52503,0,0,0,1.08,97.37,98.46,29.72,38,0,87,2,0,0,49.69,37
,04-Mar-23,404-96-2470-52503,0,0,0,1.08,93.55,98.55,24.37,31,0,58,2,0,0,36.26,29
HUMA76A,28-Feb-23,404-96-2760-49761,0,0,0,1.68,94.74,94.12,50.34,228,3,117,2,0.29,0,84.1,216
,01-Mar-23,404-96-2760-49761,0,0,0,1.97,93.67,94.64,54.45,300,0,154,2,0,0,87.74,281
,02-Mar-23,404-96-2760-49761,0,0.28,0,1.14,93.64,95.29,52.36,283,3,93,2,0.64,0,82.21,265
,03-Mar-23,404-96-2760-49761,0,0,0,1.93,92.89,94.33,56.55,239,4,104,2,0,0,81.12,222
,04-Mar-23,404-96-2760-49761,0,0.23,0,2.36,93.91,92.91,65.5,312,1,115,2,0.09,0,102.23,293
HUMA76B,28-Feb-23,404-96-2760-49762,0,0.14,0,1.67,93.64,93.5,87.5,346,2,160,2,0.64,0,122.99,324
,01-Mar-23,404-96-2760-49762,0,0,0,1.89,98.65,94,89.66,222,0,130,2,0.21,0,119.01,219
,02-Mar-23,404-96-2760-49762,0,0.15,0,1.55,96.87,94.43,86.61,415,0,167,2,0.41,0,178.67,402
,03-Mar-23,404-96-2760-49762,0,0,0,0.42,93.67,94.16,87.25,332,0,240,2,1.33,0,155.8,311
,04-Mar-23,404-96-2760-49762,0,0.24,0,0,91.07,94.34,92.95,168,1,150,2,0.39,0,147.05,153
HUMA76C,28-Feb-23,404-96-2760-49763,0,0,0,1.42,92.93,92.7,51.86,198,0,137,2,0.63,0,92.98,184
,01-Mar-23,404-96-2760-49763,0,0.21,0,1.42,86.16,92.84,61.16,159,0,121,2,0.59,0,87.97,137
,02-Mar-23,404-96-2760-49763,0,0,0,0.48,88.62,93.43,55.84,167,0,73,2,0.9,0,77.99,148
,03-Mar-23,404-96-2760-49763,0,0,0,0,87.32,93.23,55.21,213,0,107,2,0.31,0,87.28,186
,04-Mar-23,404-96-2760-49763,0,0,0,0,91.67,92.27,56.84,132,0,85,2,0.33,0,87.53,121
IOCL93A,28-Feb-23,404-96-1450-49931,0,0,0,0,88.73,94.49,229.14,497,0,467,5,0.99,0,119.63,441
,01-Mar-23,404-96-1450-49931,0,0,0,0,93.19,94.6,277.31,382,0,699,5,1.05,0,133.44,356
,02-Mar-23,404-96-1450-49931,0,0,0,0,89.22,94.74,267.93,371,0,529,5,1.24,0,133.46,331
,03-Mar-23,404-96-1450-49931,0,0,0,0,92.37,93.98,281.47,393,0,726,5,1.18,0,132.44,363
,04-Mar-23,404-96-1450-49931,0,0,0,0,91.37,93.29,280.91,371,0,609,5,0.42,0,127.57,339
IOCL93B,28-Feb-23,404-96-1450-49932,0,0,0,0,93.7,92.92,194.71,476,0,434,4,2.35,0,148.15,446
,01-Mar-23,404-96-1450-49932,0,0,0,0,95.83,92.91,197.9,408,0,412,4,2,0,150.5,391
,02-Mar-23,404-96-1450-49932,0,0,0,0,97.41,93.72,211.93,502,0,500,4,2.4,0,152,489
,03-Mar-23,404-96-1450-49932,0,0,0,0,94.07,93.89,192.08,405,0,423,4,1.15,0,168.04,381
,04-Mar-23,404-96-1450-49932,0,0.11,0,0,95.14,93.86,184.12,473,0,469,4,2.69,0,152.88,450
IOCL93C,28-Feb-23,404-96-1450-49933,0,0,0,0,87.97,93.7,227,640,0,533,4,0.51,0,143.2,563
,01-Mar-23,404-96-1450-49933,1.57,0.3,0,0,85.12,95.63,248.56,336,14,601,4,1.72,54,165.03,286
,02-Mar-23,404-96-1450-49933,0,0,0,0.78,78.93,94.56,272.85,356,0,665,4,0.95,0,166.16,281
,03-Mar-23,404-96-1450-49933,0,0,0,0.78,79.67,91.58,266.06,369,0,557,4,1.17,0,157.85,294
,04-Mar-23,404-96-1450-49933,0,0,0.9,0.78,75.45,88.49,279.91,554,0,771,4,1.02,0,204.38,418
JAND18A,28-Feb-23,404-96-1780-31181,0,0,0,1.08,100,98.31,6.16,1,0,12,2,0,0,15.23,1
,01-Mar-23,404-96-1780-31181,0,0,0,0,,99.55,7.05,0,0,16,2,0,0,19.35,0
,02-Mar-23,404-96-1780-31181,0,0,0,0,100,98.96,1.87,1,0,9,2,0,0,3.75,1
,03-Mar-23,404-96-1780-31181,0,0,0,0,100,98.85,2.36,2,0,3,2,0,0,6.73,2
,04-Mar-23,404-96-1780-31181,0,0,0,0,100,98.65,1.99,1,0,13,2,0,0,6.16,1
JAND18B,28-Feb-23,404-96-1780-31182,0,0,0,0,100,99.64,24.17,29,0,47,2,0,0,47.3,29
,01-Mar-23,404-96-1780-31182,0,0,0,0,93.55,99.41,23.82,31,0,26,2,0,0,42.15,29
,02-Mar-23,404-96-1780-31182,0,0,0,0,100,98.95,21.59,41,0,37,2,0,0,32.19,41
,03-Mar-23,404-96-1780-31182,0,0,0,0,100,98.03,20.29,35,0,25,2,0,0,35.08,35
,04-Mar-23,404-96-1780-31182,0,0,0,0,94.44,98.33,20.22,18,0,51,2,0,0,37.51,17
JAND18C,28-Feb-23,404-96-1780-31183,0,0,0,0,95.24,96.9,13.46,21,0,60,2,0,0,26.74,20
,01-Mar-23,404-96-1780-31183,0,1.32,0,0,100,96.65,14.69,32,0,36,2,0,0,24.78,32
,02-Mar-23,404-96-1780-31183,0,0,0,0,100,97.15,13.62,19,0,45,2,0,0,27.5,19
,03-Mar-23,404-96-1780-31183,0,0,0,0,100,98.59,14.29,27,0,30,2,0,0,32.38,27
,04-Mar-23,404-96-1780-31183,0,0,0,0,100,99.49,14.8,15,1,34,2,0,0,29.96,15
JDRI40A,28-Feb-23,404-96-2300-45401,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2300-45401,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2300-45401,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2300-45401,0,0,0,,,,2.86,0,0,10,2,0,0,16.99,0
,04-Mar-23,404-96-2300-45401,0,0,0,0,,98.18,6.48,0,0,9,2,0,0,15.66,0
JDRI40B,28-Feb-23,404-96-2300-45402,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2300-45402,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2300-45402,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2300-45402,0,0,0,,,,11.63,0,0,36,2,0,0,29.08,0
,04-Mar-23,404-96-2300-45402,0,0,0,0,,94.81,29.99,0,1,64,2,0,0,46.78,0
JDRI40C,28-Feb-23,404-96-2300-45403,,,,,,,,,,,,,,,
,01-Mar-23,404-96-2300-45403,,,,,,,,,,,,,,,
,02-Mar-23,404-96-2300-45403,,,,,,,,,,,,,,,
,03-Mar-23,404-96-2300-45403,0,0,0,,,,17.53,0,0,46,2,0,0,40.98,0
,04-Mar-23,404-96-2300-45403,0,0,0,0,,98.87,22.64,0,0,42,2,0,0,41.03,0
